season,index,category,term,clean_term
spring 2025,8,Clothing,90s or 80s straight leg jeans,90 or 80 straight leg jean
spring 2025,8,Shoes,western boots,western boot
spring 2025,8,Shoes,both shoes,both shoe
spring 2025,8,Accessories,lace,lace
spring 2025,8,Accessories,flowy fabrics,flowy fabric
spring 2025,8,Accessories,hippie style,hippie style
spring 2025,8,Accessories,scarves,scarve
spring 2025,8,Accessories,statement belt,statement belt
spring 2025,8,Colors,white,white
spring 2025,8,Materials,linen,linen
spring 2025,8,Materials,cotton,cotton
spring 2025,8,Materials,denim,denim
spring 2025,8,Materials,lace,lace
spring 2025,8,Materials,flowy fabrics,flowy fabric
spring 2025,8,Trends,boho style,boho style
spring 2025,8,Trends,Noriko aesthetic,noriko aesthetic
spring 2025,8,Trends,cowboy era,cowboy era
spring 2025,8,Patterns,polka dot,polka dot
spring 2025,8,Patterns,stripes,stripe
spring 2025,8,Other,rough your hats,rough your hat
spring 2025,8,Other,rough your bags and caps,rough your bag and cap
spring 2025,8,Other,cable nids or nids,cable nid or nid
spring 2025,8,Other,stud belts,stud belt
spring 2025,8,Other,jewelry that resembles or has a western aesthetic vibe,jewelry that resemble or ha a western aesthetic vibe
spring 2025,8,Other,invest in a couple of belts,invest in a couple of belt
spring 2025,9,Clothing,track pant,track pant
spring 2025,9,Clothing,blazer,blazer
spring 2025,9,Clothing,workout clothes,workout clothe
spring 2025,9,Clothing,sequin mini skirt,sequin mini skirt
spring 2025,9,Clothing,ruffled dress,ruffled dress
spring 2025,9,Clothing,denim top,denim top
spring 2025,9,Clothing,denim mini skirt,denim mini skirt
spring 2025,9,Clothing,polka dot top,polka dot top
spring 2025,9,Clothing,capri pants,capri pant
spring 2025,9,Clothing,kid in heel,kid in heel
spring 2025,9,Clothing,two piece denim set,two piece denim set
spring 2025,9,Clothing,cardigan,cardigan
spring 2025,9,Clothing,blue and white striped box or shorts,blue and white striped box or short
spring 2025,9,Clothing,burgundy red,burgundy red
spring 2025,9,Shoes,loafers,loafer
spring 2025,9,Shoes,ballet flats,ballet flat
spring 2025,9,Shoes,kidnails,kidnail
spring 2025,9,Shoes,heels,heel
spring 2025,9,Shoes,suede knee-high boots,suede knee-high boot
spring 2025,9,Colors,sequin shell,sequin shell
spring 2025,9,Colors,butter yellow,butter yellow
spring 2025,9,Colors,burgundy red,burgundy red
spring 2025,9,Colors,pistachio,pistachio
spring 2025,9,Trends,cascading boho ruffles,cascading boho ruffle
spring 2025,9,Trends,"workwear, workout clothes","workwear, workout clothe"
spring 2025,9,Patterns,polka dot,polka dot
spring 2025,10,Clothing,crochet dress,crochet dress
spring 2025,10,Clothing,skirt,skirt
spring 2025,10,Clothing,maxi skirt,maxi skirt
spring 2025,10,Clothing,mini skirt,mini skirt
spring 2025,10,Clothing,set,set
spring 2025,10,Clothing,asymmetrical top,asymmetrical top
spring 2025,10,Shoes,gazelles,gazelle
spring 2025,10,Shoes,shoes with pops of yellow and burgundy,shoe with pop of yellow and burgundy
spring 2025,10,Shoes,ballet flats,ballet flat
spring 2025,10,Shoes,kitten heels,kitten heel
spring 2025,10,Shoes,cowboy boots,cowboy boot
spring 2025,10,Shoes,fisherman sandals,fisherman sandal
spring 2025,10,Accessories,belt,belt
spring 2025,10,Accessories,hardware,hardware
spring 2025,10,Accessories,little bow detailing,little bow detailing
spring 2025,10,Colors,yellow,yellow
spring 2025,10,Colors,pink,pink
spring 2025,10,Colors,blue,blue
spring 2025,10,Colors,white,white
spring 2025,10,Colors,burgundy,burgundy
spring 2025,10,Materials,crochet,crochet
spring 2025,10,Materials,satin,satin
spring 2025,10,Materials,ballet course,ballet course
spring 2025,10,Trends,crochet trend,crochet trend
spring 2025,10,Trends,ethereal trend,ethereal trend
spring 2025,10,Trends,boho sheet trend,boho sheet trend
spring 2025,10,Trends,fisherman aesthetic,fisherman aesthetic
spring 2025,10,Trends,asymmetrical details trend,asymmetrical detail trend
spring 2025,10,Trends,sheer trend,sheer trend
spring 2025,10,Trends,ruffles trend,ruffle trend
spring 2025,11,Clothing,mini skirt,mini skirt
spring 2025,11,Clothing,shirts,shirt
spring 2025,11,Clothing,ties,tie
spring 2025,11,Clothing,Mu Mu Boy look,mu mu boy look
spring 2025,11,Clothing,midi skirts,midi skirt
spring 2025,11,Shoes,high socks,high sock
spring 2025,11,Shoes,high boots,high boot
spring 2025,11,Colors,muted,muted
spring 2025,11,Colors,retro inspired,retro inspired
spring 2025,11,Materials,fur,fur
spring 2025,11,Trends,earthy,earthy
spring 2025,11,Trends,glitter,glitter
spring 2025,11,Trends,simplicity,simplicity
spring 2025,12,Clothing,knitwear,knitwear
spring 2025,12,Clothing,MaxiSkirt,maxiskirt
spring 2025,12,Clothing,polka dot top,polka dot top
spring 2025,12,Clothing,yellow bag,yellow bag
spring 2025,12,Clothing,loafers,loafer
spring 2025,12,Clothing,low-rise MaxiSkirt,low-rise maxiskirt
spring 2025,12,Clothing,set,set
spring 2025,12,Clothing,sneakers,sneaker
spring 2025,12,Clothing,kitten heel,kitten heel
spring 2025,12,Clothing,bar jacket,bar jacket
spring 2025,12,Clothing,fisherman jacket,fisherman jacket
spring 2025,12,Clothing,cropped fisherman jacket,cropped fisherman jacket
spring 2025,12,Clothing,jellies,jellie
spring 2025,12,Shoes,gazelles,gazelle
spring 2025,12,Shoes,thambos,thambo
spring 2025,12,Shoes,loafers,loafer
spring 2025,12,Shoes,slip-ons,slip-on
spring 2025,12,Shoes,kitten heels,kitten heel
spring 2025,12,Shoes,sneakers,sneaker
spring 2025,12,Shoes,jellies,jellie
spring 2025,12,Accessories,snack list,snack list
spring 2025,12,Accessories,pearl Essent materials,pearl essent material
spring 2025,12,Colors,yellow,yellow
spring 2025,12,Materials,knits,knit
spring 2025,12,Materials,Sat MaxiSkirt,sat maxiskirt
spring 2025,12,Materials,jellies,jellie
spring 2025,12,Materials,Pearl Essent materials,pearl essent material
spring 2025,12,Trends,coursing floral details,coursing floral detail
spring 2025,12,Trends,polka dots,polka dot
spring 2025,12,Trends,Sat MaxiSkirt trend,sat maxiskirt trend
spring 2025,12,Trends,low-rise MaxiSkirt,low-rise maxiskirt
spring 2025,12,Trends,structured materials,structured material
spring 2025,12,Trends,loafers,loafer
spring 2025,12,Trends,bar and jackets,bar and jacket
spring 2025,12,Trends,jellies and Pearl Essent materials,jellie and pearl essent material
spring 2025,12,Patterns,polka dots,polka dot
spring 2025,13,Clothing,alcatal,alcatal
spring 2025,13,Clothing,skirts,skirt
spring 2025,13,Clothing,functional outerwear,functional outerwear
spring 2025,13,Accessories,polka-dot nails,polka-dot nail
spring 2025,13,Colors,pink,pink
spring 2025,13,Trends,playful,playful
spring 2025,13,Trends,plaid,plaid
spring 2025,13,Trends,boho,boho
spring 2025,13,Trends,Coastal grandma preppy,coastal grandma preppy
spring 2025,13,Trends,20 to 10s revival,20 to 10 revival
spring 2025,13,Trends,functional jackets,functional jacket
spring 2025,13,Patterns,polka dot,polka dot
spring 2025,13,Other,Storm Pinterest,storm pinterest
spring 2025,13,Other,Glossier,glossier
spring 2025,13,Other,runway pictures,runway picture
spring 2025,13,Other,real life inspiration,real life inspiration
spring 2025,14,Clothing,pajama style sets,pajama style set
spring 2025,14,Clothing,deconstructed gathered skirts,deconstructed gathered skirt
spring 2025,14,Shoes,high heel boots,high heel boot
spring 2025,14,Accessories,big wrap around sort of sunnies,big wrap around sort of sunnie
spring 2025,14,Accessories,cool bag,cool bag
spring 2025,14,Colors,more colors,more color
spring 2025,14,Materials,not mentioned,not mentioned
spring 2025,14,Trends,big wrap around sort of sunnies,big wrap around sort of sunnie
spring 2025,14,Trends,futuristic style,futuristic style
spring 2025,14,Trends,less classic big gold glasses,less classic big gold glasse
spring 2025,14,Trends,fading away from the more cat eye sunglasses,fading away from the more cat eye sunglasse
spring 2025,14,Trends,EC through lenses,ec through lense
spring 2025,14,Trends,sets with pajama style sets,set with pajama style set
spring 2025,14,Trends,deconstructed gathered skirts,deconstructed gathered skirt
spring 2025,14,Trends,big maximalist but minimalist tones sort of style,big maximalist but minimalist tone sort of style
spring 2025,14,Trends,styles like this,style like thi
spring 2025,14,Patterns,not mentioned,not mentioned
spring 2025,14,Other,high heel boots make a really big difference,high heel boot make a really big difference
spring 2025,16,Clothing,simple outfits,simple outfit
spring 2025,16,Clothing,skinny jeans,skinny jean
spring 2025,16,Clothing,skinny leather pant,skinny leather pant
spring 2025,16,Clothing,skinny boot cut jean,skinny boot cut jean
spring 2025,16,Clothing,sink waist blazers,sink waist blazer
spring 2025,16,Clothing,blazers,blazer
spring 2025,16,Shoes,pistachio shoes,pistachio shoe
spring 2025,16,Accessories,statement belt,statement belt
spring 2025,16,Accessories,glasses,glasse
spring 2025,16,Accessories,belted jackets,belted jacket
spring 2025,16,Accessories,belted puffer coats,belted puffer coat
spring 2025,16,Colors,pistachio,pistachio
spring 2025,16,Trends,wearing very simple outfits with a statement belt,wearing very simple outfit with a statement belt
spring 2025,16,Trends,belts as the moment,belt a the moment
spring 2025,16,Trends,skinny jeans coming back,skinny jean coming back
spring 2025,16,Trends,belted jackets,belted jacket
spring 2025,16,Trends,belted puffer coats,belted puffer coat
spring 2025,16,Trends,sink waist blazers,sink waist blazer
spring 2025,16,Trends,cinch waist blazers and cinch waist jackets in general,cinch waist blazer and cinch waist jacket in general
spring 2025,17,Clothing,rugby tops,rugby top
spring 2025,17,Clothing,chalk pants,chalk pant
spring 2025,17,Clothing,varsity jackets,varsity jacket
spring 2025,17,Clothing,windbreakers,windbreaker
spring 2025,17,Clothing,French coats,french coat
spring 2025,17,Clothing,skinny jeans,skinny jean
spring 2025,17,Clothing,straight leg jeans,straight leg jean
spring 2025,17,Clothing,boot cut jeans,boot cut jean
spring 2025,17,Shoes,sneaker,sneaker
spring 2025,17,Shoes,sporty Mary Jane's,sporty mary jane'
spring 2025,17,Shoes,riding boots,riding boot
spring 2025,17,Accessories,statement studded belts,statement studded belt
spring 2025,17,Accessories,fringe bags,fringe bag
spring 2025,17,Accessories,jelly cat cute chains,jelly cat cute chain
spring 2025,17,Accessories,charms,charm
spring 2025,17,Materials,cow hide print,cow hide print
spring 2025,17,Trends,mixing sporty pieces,mixing sporty piece
spring 2025,17,Trends,Western influences,western influence
spring 2025,17,Patterns,cow hide print,cow hide print
spring 2025,17,Other,dark denim,dark denim
spring 2025,18,Clothing,dresses,dresse
spring 2025,18,Clothing,jackets,jacket
spring 2025,18,Clothing,nets,net
spring 2025,18,Clothing,accessories,accessorie
spring 2025,18,Clothing,shoes,shoe
spring 2025,18,Clothing,back,back
spring 2025,18,Clothing,shirts,shirt
spring 2025,18,Clothing,striped shirts,striped shirt
spring 2025,18,Clothing,trench coats,trench coat
spring 2025,18,Clothing,trousers,trouser
spring 2025,18,Clothing,matching sets,matching set
spring 2025,18,Clothing,Karin or linen dresses,karin or linen dresse
spring 2025,18,Clothing,quilted jackets,quilted jacket
spring 2025,18,Clothing,dress,dress
spring 2025,18,Clothing,skirt and a top,skirt and a top
spring 2025,18,Clothing,suit pants,suit pant
spring 2025,18,Clothing,outfit,outfit
spring 2025,18,Shoes,these shoes,these shoe
spring 2025,18,Accessories,accessories like these,accessorie like these
spring 2025,18,Accessories,back,back
spring 2025,18,Accessories,accessories,accessorie
spring 2025,18,Colors,pastel colors,pastel color
spring 2025,18,Colors,body yellow,body yellow
spring 2025,18,Colors,green,green
spring 2025,18,Colors,pistachio green,pistachio green
spring 2025,18,Colors,khaki green,khaki green
spring 2025,18,Colors,olive green,olive green
spring 2025,18,Colors,darker shade of green,darker shade of green
spring 2025,18,Colors,powder pink,powder pink
spring 2025,18,Colors,navy,navy
spring 2025,18,Colors,brown,brown
spring 2025,18,Colors,burgundy,burgundy
spring 2025,18,Materials,nits,nit
spring 2025,18,Materials,cotton,cotton
spring 2025,18,Materials,linen,linen
spring 2025,18,Materials,Karin,karin
spring 2025,18,Materials,quilted,quilted
spring 2025,18,Trends,matching sets,matching set
spring 2025,18,Trends,pattern mixing,pattern mixing
spring 2025,18,Trends,maximalist aesthetic,maximalist aesthetic
spring 2025,18,Trends,bold pattern,bold pattern
spring 2025,18,Trends,stripes,stripe
spring 2025,18,Patterns,stripes,stripe
spring 2025,18,Other,the next 20th color,the next 20th color
spring 2025,21,Clothing,Isabel Morat boho chic style,isabel morat boho chic style
spring 2025,21,Clothing,pistachio green (in clothing),pistachio green (in clothing)
spring 2025,21,Clothing,butter yellow (in clothing),butter yellow (in clothing)
spring 2025,21,Clothing,pastel pink (in clothing),pastel pink (in clothing)
spring 2025,21,Shoes,pistachio green (in shoes),pistachio green (in shoes)
spring 2025,21,Accessories,accessories (in Isabel Morat boho chic style),accessorie (in isabel morat boho chic style)
spring 2025,21,Accessories,jewelry (in Isabel Morat boho chic style),jewelry (in isabel morat boho chic style)
spring 2025,21,Accessories,fringe and studs (in Isabel Morat boho chic style),fringe and stud (in isabel morat boho chic style)
spring 2025,21,Accessories,pistachio brands (in wardrobe),pistachio brand (in wardrobe)
spring 2025,21,Accessories,bag charms,bag charm
spring 2025,21,Accessories,charms (in general),charm (in general)
spring 2025,21,Accessories,jewelry charm bracelets,jewelry charm bracelet
spring 2025,21,Accessories,necklaces,necklace
spring 2025,21,Accessories,phone accessory charms,phone accessory charm
spring 2025,21,Accessories,scarf (over a baseball cap),scarf (over a baseball cap)
spring 2025,21,Colors,pistachio green,pistachio green
spring 2025,21,Colors,butter yellow,butter yellow
spring 2025,21,Colors,pastel pink,pastel pink
spring 2025,21,Trends,boho chic style,boho chic style
spring 2025,21,Trends,pistachio trend,pistachio trend
spring 2025,21,Trends,butter yellow trend,butter yellow trend
spring 2025,21,Trends,pastel trend,pastel trend
spring 2025,21,Trends,bag charm trend,bag charm trend
spring 2025,21,Trends,scarf over baseball cap trend,scarf over baseball cap trend
spring 2025,22,Clothing,T-shirts,t-shirt
spring 2025,22,Clothing,loafers,loafer
spring 2025,22,Clothing,boat shoes,boat shoe
spring 2025,22,Clothing,mules,mule
spring 2025,22,Shoes,loafers,loafer
spring 2025,22,Shoes,boat shoes,boat shoe
spring 2025,22,Shoes,mules,mule
spring 2025,22,Shoes,sporty shoes,sporty shoe
spring 2025,22,Accessories,fun socks,fun sock
spring 2025,22,Colors,this color,thi color
spring 2025,22,Materials,this material,thi material
spring 2025,22,Trends,calprent,calprent
spring 2025,23,Clothing,barn jacket,barn jacket
spring 2025,23,Clothing,t-shirt,t-shirt
spring 2025,23,Clothing,jeans,jean
spring 2025,23,Clothing,oversized style jacket,oversized style jacket
spring 2025,23,Clothing,cropped jacket,cropped jacket
spring 2025,23,Clothing,white tee,white tee
spring 2025,23,Clothing,heels,heel
spring 2025,23,Clothing,mini skirt,mini skirt
spring 2025,23,Clothing,suit sets,suit set
spring 2025,23,Clothing,sat in pants,sat in pant
spring 2025,23,Clothing,light sweater,light sweater
spring 2025,23,Clothing,sandals,sandal
spring 2025,23,Clothing,cream set in pants,cream set in pant
spring 2025,23,Clothing,green set in pants,green set in pant
spring 2025,23,Shoes,loafers,loafer
spring 2025,23,Shoes,heels,heel
spring 2025,23,Shoes,sandals,sandal
spring 2025,23,Colors,spring color,spring color
spring 2025,23,Colors,bright pink,bright pink
spring 2025,23,Colors,classic color,classic color
spring 2025,23,Trends,oversized style,oversized style
spring 2025,24,Clothing,hair clips,hair clip
spring 2025,24,Clothing,nautical-ish-inspired outfit,nautical-ish-inspired outfit
spring 2025,24,Clothing,Miss Captain outfit,miss captain outfit
spring 2025,24,Clothing,statement earrings,statement earring
spring 2025,24,Clothing,coordinating outfits,coordinating outfit
spring 2025,24,Accessories,little flat hair clips,little flat hair clip
spring 2025,24,Accessories,statement earrings,statement earring
spring 2025,24,Colors,blue,blue
spring 2025,24,Colors,denim,denim
spring 2025,24,Trends,blue as a neutral,blue a a neutral
spring 2025,24,Trends,statement earrings,statement earring
spring 2025,24,Trends,"thick looking, wet looking lips","thick looking, wet looking lip"
spring 2025,24,Trends,matching outfits,matching outfit
spring 2025,24,Other,minimalistic jewelry,minimalistic jewelry
spring 2025,24,Other,lip gloss,lip gloss
spring 2025,25,Clothing,red undershirts,red undershirt
spring 2025,25,Clothing,skirts,skirt
spring 2025,25,Clothing,dresses,dresse
spring 2025,25,Clothing,pants,pant
spring 2025,25,Clothing,cardigan,cardigan
spring 2025,25,Clothing,sweaters,sweater
spring 2025,25,Clothing,jackets,jacket
spring 2025,25,Clothing,blazers,blazer
spring 2025,25,Accessories,scarves,scarve
spring 2025,25,Colors,red,red
spring 2025,25,Colors,brown,brown
spring 2025,25,Trends,red accents,red accent
spring 2025,25,Trends,scarves trend,scarve trend
spring 2025,25,Trends,brown stockings trend,brown stocking trend
spring 2025,25,Trends,skirts over pants trend,skirt over pant trend
spring 2025,25,Trends,cuffed pants trend,cuffed pant trend
spring 2025,25,Trends,belting everything trend,belting everything trend
spring 2025,26,Clothing,Swade Jacket,swade jacket
spring 2025,26,Clothing,Swade Cotes,swade cote
spring 2025,26,Clothing,Swade Blazers,swade blazer
spring 2025,26,Clothing,Swade Skirts,swade skirt
spring 2025,26,Clothing,trainers,trainer
spring 2025,26,Clothing,loafers,loafer
spring 2025,26,Clothing,refined athleisure,refined athleisure
spring 2025,26,Clothing,bubble hen skirts,bubble hen skirt
spring 2025,26,Clothing,bubble hen dresses,bubble hen dresse
spring 2025,26,Shoes,trainers,trainer
spring 2025,26,Shoes,loafers,loafer
spring 2025,26,Colors,soft powdery pink,soft powdery pink
spring 2025,26,Trends,Swade,swade
spring 2025,26,Trends,refined athletes you wear,refined athlete you wear
spring 2025,26,Trends,bubble hens,bubble hen
spring 2025,26,Trends,maximalism,maximalism
spring 2025,27,Clothing,coastal-inspired dress,coastal-inspired dress
spring 2025,27,Clothing,blouses with bows,blouse with bow
spring 2025,27,Clothing,ruffled dresses,ruffled dresse
spring 2025,27,Clothing,ruffled skirts,ruffled skirt
spring 2025,27,Clothing,ruffled blouses,ruffled blouse
spring 2025,27,Clothing,preppy dresses,preppy dresse
spring 2025,27,Clothing,preppy skirts,preppy skirt
spring 2025,27,Clothing,olive green dresses,olive green dresse
spring 2025,27,Clothing,blush pink dresses,blush pink dresse
spring 2025,27,Clothing,battery yellow dresses,battery yellow dresse
spring 2025,27,Colors,olive green,olive green
spring 2025,27,Colors,blush pink,blush pink
spring 2025,27,Colors,battery yellow,battery yellow
spring 2025,27,Trends,coastal-inspired,coastal-inspired
spring 2025,27,Trends,ruffled,ruffled
spring 2025,27,Trends,preppy,preppy
spring 2025,27,Trends,feminine,feminine
spring 2025,27,Patterns,stripes,stripe
spring 2025,28,Clothing,wool blazers,wool blazer
spring 2025,28,Clothing,long-sleeved denim on denim set,long-sleeved denim on denim set
spring 2025,28,Clothing,coat or a blazer or a jacket,coat or a blazer or a jacket
spring 2025,28,Clothing,suede,suede
spring 2025,28,Clothing,trench jacket,trench jacket
spring 2025,28,Clothing,canvas type trench jacket,canva type trench jacket
spring 2025,28,Clothing,cropped trench jacket,cropped trench jacket
spring 2025,28,Accessories,colorful sweaters,colorful sweater
spring 2025,28,Accessories,yellow sweater,yellow sweater
spring 2025,28,Colors,gray,gray
spring 2025,28,Colors,brown,brown
spring 2025,28,Colors,colorful,colorful
spring 2025,28,Colors,yellow,yellow
spring 2025,28,Materials,wool,wool
spring 2025,28,Materials,suede,suede
spring 2025,28,Materials,canvas,canva
spring 2025,28,Trends,denim on denim set,denim on denim set
spring 2025,28,Trends,monochromatic look,monochromatic look
spring 2025,29,Clothing,dress,dress
spring 2025,29,Clothing,suit,suit
spring 2025,29,Clothing,cinched waist suit,cinched waist suit
spring 2025,29,Accessories,accent belts,accent belt
spring 2025,29,Accessories,big studs,big stud
spring 2025,29,Accessories,Dinamondinna,dinamondinna
spring 2025,29,Accessories,calprent ear fabrics,calprent ear fabric
spring 2025,29,Accessories,ruffles,ruffle
spring 2025,29,Accessories,lace,lace
spring 2025,29,Accessories,fringe,fringe
spring 2025,29,Colors,pistachio green,pistachio green
spring 2025,29,Colors,buttery yellow,buttery yellow
spring 2025,29,Colors,pale pink,pale pink
spring 2025,29,Materials,calprent ear fabrics,calprent ear fabric
spring 2025,29,Trends,monochromatic look,monochromatic look
spring 2025,29,Trends,power suit with cinched waist,power suit with cinched waist
spring 2025,29,Trends,adding a pop of color to the outfit and shoes and in accessories,adding a pop of color to the outfit and shoe and in accessorie
spring 2025,29,Trends,Gingham print,gingham print
spring 2025,29,Trends,ruffles,ruffle
spring 2025,29,Trends,lace,lace
spring 2025,29,Trends,fringe,fringe
spring 2025,29,Trends,Dinamondinna,dinamondinna
spring 2025,29,Trends,big studs,big stud
spring 2025,29,Trends,accent belts,accent belt
spring 2025,29,Patterns,Gingham print,gingham print
spring 2025,30,Clothing,barrel style jean,barrel style jean
spring 2025,30,Clothing,loose style jean,loose style jean
spring 2025,30,Clothing,slim jean,slim jean
spring 2025,30,Clothing,slim straight jean,slim straight jean
spring 2025,30,Clothing,tank tops,tank top
spring 2025,30,Clothing,t-shirts,t-shirt
spring 2025,30,Clothing,jumpers,jumper
spring 2025,30,Clothing,jackets,jacket
spring 2025,30,Clothing,white t-shirt,white t-shirt
spring 2025,30,Shoes,ballet flats,ballet flat
spring 2025,30,Shoes,cord heels,cord heel
spring 2025,30,Shoes,heels,heel
spring 2025,30,Shoes,loafers,loafer
spring 2025,30,Shoes,ballet flats with slim trainers,ballet flat with slim trainer
spring 2025,30,Colors,blue denim,blue denim
spring 2025,30,Colors,off-white,off-white
spring 2025,30,Materials,denim,denim
spring 2025,30,Trends,barrel style denim trend,barrel style denim trend
spring 2025,30,Trends,return of the slim jean trend,return of the slim jean trend
spring 2025,31,Clothing,cool trousers,cool trouser
spring 2025,31,Clothing,pattern pants,pattern pant
spring 2025,31,Clothing,wrap necklaces,wrap necklace
spring 2025,31,Clothing,boxers as shorts,boxer a short
spring 2025,31,Clothing,denim tops,denim top
spring 2025,31,Accessories,wrap necklaces,wrap necklace
spring 2025,31,Materials,suede,suede
spring 2025,31,Trends,pattern pants,pattern pant
spring 2025,31,Trends,wrap necklaces,wrap necklace
spring 2025,31,Trends,boxers as shorts,boxer a short
spring 2025,31,Trends,denim tops,denim top
spring 2025,31,Patterns,pattern pants,pattern pant
