season,index,category,term
spring 2025,17,Clothing,rugby tops
spring 2025,17,Clothing,chalk pants
spring 2025,17,Clothing,varsity jackets
spring 2025,17,Clothing,windbreakers
spring 2025,17,Clothing,French coats
spring 2025,17,Clothing,skinny jeans
spring 2025,17,Clothing,straight leg jeans
spring 2025,17,Clothing,boot cut jeans
spring 2025,17,Shoes,sneaker
spring 2025,17,Shoes,sporty Mary Jane's
spring 2025,17,Shoes,riding boots
spring 2025,17,Accessories,statement studded belts
spring 2025,17,Accessories,fringe bags
spring 2025,17,Accessories,jelly cat cute chains
spring 2025,17,Accessories,charms
spring 2025,17,Materials,cow hide print
spring 2025,17,Trends,mixing sporty pieces
spring 2025,17,Trends,Western influences
spring 2025,17,Patterns,cow hide print
spring 2025,17,Other,dark denim
spring 2025,18,Clothing,dresses
spring 2025,18,Clothing,jackets
spring 2025,18,Clothing,nets
spring 2025,18,Clothing,accessories
spring 2025,18,Clothing,shoes
spring 2025,18,Clothing,back
spring 2025,18,Clothing,shirts
spring 2025,18,Clothing,striped shirts
spring 2025,18,Clothing,trench coats
spring 2025,18,Clothing,trousers
spring 2025,18,Clothing,matching sets
spring 2025,18,Clothing,Karin or linen dresses
spring 2025,18,Clothing,quilted jackets
spring 2025,18,Clothing,dress
spring 2025,18,Clothing,skirt and a top
spring 2025,18,Clothing,suit pants
spring 2025,18,Clothing,outfit
spring 2025,18,Shoes,these shoes
spring 2025,18,Accessories,accessories like these
spring 2025,18,Accessories,back
spring 2025,18,Accessories,accessories
spring 2025,18,Colors,pastel colors
spring 2025,18,Colors,body yellow
spring 2025,18,Colors,green
spring 2025,18,Colors,pistachio green
spring 2025,18,Colors,khaki green
spring 2025,18,Colors,olive green
spring 2025,18,Colors,darker shade of green
spring 2025,18,Colors,powder pink
spring 2025,18,Colors,navy
spring 2025,18,Colors,brown
spring 2025,18,Colors,burgundy
spring 2025,18,Materials,nits
spring 2025,18,Materials,cotton
spring 2025,18,Materials,linen
spring 2025,18,Materials,Karin
spring 2025,18,Materials,quilted
spring 2025,18,Trends,matching sets
spring 2025,18,Trends,pattern mixing
spring 2025,18,Trends,maximalist aesthetic
spring 2025,18,Trends,bold pattern
spring 2025,18,Trends,stripes
spring 2025,18,Patterns,stripes
spring 2025,18,Other,the next 20th color
spring 2025,21,Clothing,Isabel Morat boho chic style
spring 2025,21,Clothing,pistachio green (in clothing)
spring 2025,21,Clothing,butter yellow (in clothing)
spring 2025,21,Clothing,pastel pink (in clothing)
spring 2025,21,Shoes,pistachio green (in shoes)
spring 2025,21,Accessories,accessories (in Isabel Morat boho chic style)
spring 2025,21,Accessories,jewelry (in Isabel Morat boho chic style)
spring 2025,21,Accessories,fringe and studs (in Isabel Morat boho chic style)
spring 2025,21,Accessories,pistachio brands (in wardrobe)
spring 2025,21,Accessories,bag charms
spring 2025,21,Accessories,charms (in general)
spring 2025,21,Accessories,jewelry charm bracelets
spring 2025,21,Accessories,necklaces
spring 2025,21,Accessories,phone accessory charms
spring 2025,21,Accessories,scarf (over a baseball cap)
spring 2025,21,Colors,pistachio green
spring 2025,21,Colors,butter yellow
spring 2025,21,Colors,pastel pink
spring 2025,21,Trends,boho chic style
spring 2025,21,Trends,pistachio trend
spring 2025,21,Trends,butter yellow trend
spring 2025,21,Trends,pastel trend
spring 2025,21,Trends,bag charm trend
spring 2025,21,Trends,scarf over baseball cap trend
spring 2025,22,Clothing,T-shirts
spring 2025,22,Clothing,loafers
spring 2025,22,Clothing,boat shoes
spring 2025,22,Clothing,mules
spring 2025,22,Shoes,loafers
spring 2025,22,Shoes,boat shoes
spring 2025,22,Shoes,mules
spring 2025,22,Shoes,sporty shoes
spring 2025,22,Accessories,fun socks
spring 2025,22,Colors,this color
spring 2025,22,Materials,this material
spring 2025,22,Trends,calprent
spring 2025,23,Clothing,barn jacket
spring 2025,23,Clothing,t-shirt
spring 2025,23,Clothing,jeans
spring 2025,23,Clothing,oversized style jacket
spring 2025,23,Clothing,cropped jacket
spring 2025,23,Clothing,white tee
spring 2025,23,Clothing,heels
spring 2025,23,Clothing,mini skirt
spring 2025,23,Clothing,suit sets
spring 2025,23,Clothing,sat in pants
spring 2025,23,Clothing,light sweater
spring 2025,23,Clothing,sandals
spring 2025,23,Clothing,cream set in pants
spring 2025,23,Clothing,green set in pants
spring 2025,23,Shoes,loafers
spring 2025,23,Shoes,heels
spring 2025,23,Shoes,sandals
spring 2025,23,Colors,spring color
spring 2025,23,Colors,bright pink
spring 2025,23,Colors,classic color
spring 2025,23,Trends,oversized style
spring 2025,24,Clothing,hair clips
spring 2025,24,Clothing,nautical-ish-inspired outfit
spring 2025,24,Clothing,Miss Captain outfit
spring 2025,24,Clothing,statement earrings
spring 2025,24,Clothing,coordinating outfits
spring 2025,24,Accessories,little flat hair clips
spring 2025,24,Accessories,statement earrings
spring 2025,24,Colors,blue
spring 2025,24,Colors,denim
spring 2025,24,Trends,blue as a neutral
spring 2025,24,Trends,statement earrings
spring 2025,24,Trends,"thick looking, wet looking lips"
spring 2025,24,Trends,matching outfits
spring 2025,24,Other,minimalistic jewelry
spring 2025,24,Other,lip gloss
spring 2025,25,Clothing,red undershirts
spring 2025,25,Clothing,skirts
spring 2025,25,Clothing,dresses
spring 2025,25,Clothing,pants
spring 2025,25,Clothing,cardigan
spring 2025,25,Clothing,sweaters
spring 2025,25,Clothing,jackets
spring 2025,25,Clothing,blazers
spring 2025,25,Accessories,scarves
spring 2025,25,Colors,red
spring 2025,25,Colors,brown
spring 2025,25,Trends,red accents
spring 2025,25,Trends,scarves trend
spring 2025,25,Trends,brown stockings trend
spring 2025,25,Trends,skirts over pants trend
spring 2025,25,Trends,cuffed pants trend
spring 2025,25,Trends,belting everything trend
spring 2025,26,Clothing,Swade Jacket
spring 2025,26,Clothing,Swade Cotes
spring 2025,26,Clothing,Swade Blazers
spring 2025,26,Clothing,Swade Skirts
spring 2025,26,Clothing,trainers
spring 2025,26,Clothing,loafers
spring 2025,26,Clothing,refined athleisure
spring 2025,26,Clothing,bubble hen skirts
spring 2025,26,Clothing,bubble hen dresses
spring 2025,26,Shoes,trainers
spring 2025,26,Shoes,loafers
spring 2025,26,Colors,soft powdery pink
spring 2025,26,Trends,Swade
spring 2025,26,Trends,refined athletes you wear
spring 2025,26,Trends,bubble hens
spring 2025,26,Trends,maximalism
spring 2025,27,Clothing,coastal-inspired dress
spring 2025,27,Clothing,blouses with bows
spring 2025,27,Clothing,ruffled dresses
spring 2025,27,Clothing,ruffled skirts
spring 2025,27,Clothing,ruffled blouses
spring 2025,27,Clothing,preppy dresses
spring 2025,27,Clothing,preppy skirts
spring 2025,27,Clothing,olive green dresses
spring 2025,27,Clothing,blush pink dresses
spring 2025,27,Clothing,battery yellow dresses
spring 2025,27,Colors,olive green
spring 2025,27,Colors,blush pink
spring 2025,27,Colors,battery yellow
spring 2025,27,Trends,coastal-inspired
spring 2025,27,Trends,ruffled
spring 2025,27,Trends,preppy
spring 2025,27,Trends,feminine
spring 2025,27,Patterns,stripes
spring 2025,28,Clothing,wool blazers
spring 2025,28,Clothing,long-sleeved denim on denim set
spring 2025,28,Clothing,coat or a blazer or a jacket
spring 2025,28,Clothing,suede
spring 2025,28,Clothing,trench jacket
spring 2025,28,Clothing,canvas type trench jacket
spring 2025,28,Clothing,cropped trench jacket
spring 2025,28,Accessories,colorful sweaters
spring 2025,28,Accessories,yellow sweater
spring 2025,28,Colors,gray
spring 2025,28,Colors,brown
spring 2025,28,Colors,colorful
spring 2025,28,Colors,yellow
spring 2025,28,Materials,wool
spring 2025,28,Materials,suede
spring 2025,28,Materials,canvas
spring 2025,28,Trends,denim on denim set
spring 2025,28,Trends,monochromatic look
spring 2025,29,Clothing,dress
spring 2025,29,Clothing,suit
spring 2025,29,Clothing,cinched waist suit
spring 2025,29,Accessories,accent belts
spring 2025,29,Accessories,big studs
spring 2025,29,Accessories,Dinamondinna
spring 2025,29,Accessories,calprent ear fabrics
spring 2025,29,Accessories,ruffles
spring 2025,29,Accessories,lace
spring 2025,29,Accessories,fringe
spring 2025,29,Colors,pistachio green
spring 2025,29,Colors,buttery yellow
spring 2025,29,Colors,pale pink
spring 2025,29,Materials,calprent ear fabrics
spring 2025,29,Trends,monochromatic look
spring 2025,29,Trends,power suit with cinched waist
spring 2025,29,Trends,adding a pop of color to the outfit and shoes and in accessories
spring 2025,29,Trends,Gingham print
spring 2025,29,Trends,ruffles
spring 2025,29,Trends,lace
spring 2025,29,Trends,fringe
spring 2025,29,Trends,Dinamondinna
spring 2025,29,Trends,big studs
spring 2025,29,Trends,accent belts
spring 2025,29,Patterns,Gingham print
spring 2025,30,Clothing,barrel style jean
spring 2025,30,Clothing,loose style jean
spring 2025,30,Clothing,slim jean
spring 2025,30,Clothing,slim straight jean
spring 2025,30,Clothing,tank tops
spring 2025,30,Clothing,t-shirts
spring 2025,30,Clothing,jumpers
spring 2025,30,Clothing,jackets
spring 2025,30,Clothing,white t-shirt
spring 2025,30,Shoes,ballet flats
spring 2025,30,Shoes,cord heels
spring 2025,30,Shoes,heels
spring 2025,30,Shoes,loafers
spring 2025,30,Shoes,ballet flats with slim trainers
spring 2025,30,Colors,blue denim
spring 2025,30,Colors,off-white
spring 2025,30,Materials,denim
spring 2025,30,Trends,barrel style denim trend
spring 2025,30,Trends,return of the slim jean trend
spring 2025,31,Clothing,cool trousers
spring 2025,31,Clothing,pattern pants
spring 2025,31,Clothing,wrap necklaces
spring 2025,31,Clothing,boxers as shorts
spring 2025,31,Clothing,denim tops
spring 2025,31,Accessories,wrap necklaces
spring 2025,31,Materials,suede
spring 2025,31,Trends,pattern pants
spring 2025,31,Trends,wrap necklaces
spring 2025,31,Trends,boxers as shorts
spring 2025,31,Trends,denim tops
spring 2025,31,Patterns,pattern pants
spring 2025,32,Clothing,Polaroid broaches at Moschino
spring 2025,32,Clothing,statement necklaces at Prada
spring 2025,32,Clothing,fur skirts of all colors of all lengths
spring 2025,32,Clothing,slit skirts
spring 2025,32,Clothing,"Deorbaugh, Goliano, Gidorio T-shirts"
spring 2025,32,Clothing,skull print tops
spring 2025,32,Clothing,Chloe Paddington
spring 2025,32,Clothing,extra large rabbit feet or like animal tail key chains
spring 2025,32,Clothing,doll bag charms at Fendi
spring 2025,32,Clothing,bunny clutches and stole
spring 2025,32,Clothing,plushy animal key chains at coach
spring 2025,32,Clothing,polypocket miniatures
spring 2025,32,Clothing,tomogadji swipe bag
spring 2025,32,Clothing,waist list skirts
spring 2025,32,Clothing,Tori birch something similar
spring 2025,32,Clothing,crushed colorful velvet
spring 2025,32,Accessories,offbeat jewelry
spring 2025,32,Accessories,statement necklaces
spring 2025,32,Accessories,Polaroid broaches
spring 2025,32,Accessories,skull print
spring 2025,32,Accessories,skull scarf
spring 2025,32,Accessories,animal tail key chains
spring 2025,32,Accessories,doll bag charms
spring 2025,32,Accessories,bunny clutches and stole
spring 2025,32,Accessories,plushy animal key chains
spring 2025,32,Accessories,polypocket miniatures
spring 2025,32,Accessories,tomogadji swipe bag
spring 2025,32,Accessories,animal tail key chains as a scarf
spring 2025,32,Accessories,rabbit feet key chains
spring 2025,32,Accessories,padlock's
spring 2025,32,Accessories,heavy metals
spring 2025,32,Accessories,animal tail scarf
spring 2025,32,Colors,all colors
spring 2025,32,Materials,fur
spring 2025,32,Materials,velvet
spring 2025,32,Trends,offbeat jewelry
spring 2025,32,Trends,fur skirts
spring 2025,32,Trends,hair being used almost in place of fur
spring 2025,32,Trends,increased appetite for nostalgia
spring 2025,32,Trends,cuddly childlike motifs and accessories
spring 2025,32,Trends,crushed colorful velvet
spring 2025,32,Patterns,Polaroid
spring 2025,32,Patterns,skull print
spring 2025,33,Clothing,alcatal
spring 2025,33,Clothing,skirts
spring 2025,33,Clothing,functional outerwear
spring 2025,33,Accessories,polka-dot nails
spring 2025,33,Colors,pink
spring 2025,33,Trends,playful
spring 2025,33,Trends,plaid
spring 2025,33,Trends,boho
spring 2025,33,Trends,Coastal grandma preppy
spring 2025,33,Trends,20 to 10s revival
spring 2025,33,Trends,functional jackets
spring 2025,33,Patterns,polka dot
spring 2025,33,Other,Storm Pinterest
spring 2025,33,Other,Glossier
spring 2025,33,Other,runway pictures
spring 2025,33,Other,real life inspiration
spring 2025,35,Clothing,micro shorts
spring 2025,35,Clothing,Dita's joggers
spring 2025,35,Clothing,oversized coat
spring 2025,35,Clothing,button down
spring 2025,35,Clothing,polo tops
spring 2025,35,Clothing,sheer tops
spring 2025,35,Clothing,boho dresses
spring 2025,35,Colors,neutral shade
spring 2025,35,Trends,elevated sportswear
spring 2025,35,Trends,boho
spring 2025,35,Patterns,Zebra print
spring 2025,37,Clothing,ballet flat
spring 2025,37,Clothing,jacket
spring 2025,37,Shoes,ballet flat
spring 2025,37,Shoes,sneaker
spring 2025,37,Accessories,giant scrunchies
spring 2025,37,Accessories,hair cuff
spring 2025,37,Accessories,eyelet one
spring 2025,37,Colors,butter yellow
spring 2025,37,Colors,all of green
spring 2025,37,Colors,baby blue
spring 2025,37,Materials,suede
spring 2025,37,Trends,monochromatic look
spring 2025,37,Trends,no makeup makeup
spring 2025,37,Other,lash lift
spring 2025,38,Clothing,dress
spring 2025,38,Clothing,skirts
spring 2025,38,Clothing,jackets
spring 2025,38,Clothing,hair accessories
spring 2025,38,Accessories,hair accessories
spring 2025,38,Colors,green
spring 2025,38,Colors,bluish
spring 2025,38,Colors,pastel colors
spring 2025,38,Colors,powder pink
spring 2025,38,Colors,butter yellow
spring 2025,38,Trends,bohemian chic
spring 2025,38,Trends,asymmetric styles
spring 2025,38,Trends,Range Rover Pilates girl vibe
spring 2025,38,Patterns,animal print
spring 2025,38,Patterns,zebra print
spring 2025,38,Patterns,snake prints
spring 2025,39,Clothing,boho chic vibe
spring 2025,39,Clothing,relaxed flowing vintage looks
spring 2025,39,Clothing,cinched waist
spring 2025,39,Clothing,cinched sleeves
spring 2025,39,Clothing,cinched bottoms
spring 2025,39,Clothing,Sousaouchi ni hai boots
spring 2025,39,Clothing,sweet boots
spring 2025,39,Clothing,oversized handheld bags
spring 2025,39,Clothing,faux fur bags
spring 2025,39,Clothing,Tonkibing over the sleeves
spring 2025,39,Clothing,statement leather gloves
spring 2025,39,Clothing,slimmer straight-like jeans
spring 2025,39,Shoes,Sousaouchi ni hai boots
spring 2025,39,Shoes,sweet boots
spring 2025,39,Accessories,stud detailing
spring 2025,39,Accessories,Tonkibing over the sleeves
spring 2025,39,Accessories,statement leather gloves
spring 2025,39,Accessories,oversized handheld bags
spring 2025,39,Accessories,faux fur bags
spring 2025,39,Colors,cool colors
spring 2025,39,Materials,leather
spring 2025,39,Materials,faux fur
spring 2025,39,Trends,boho chic
spring 2025,39,Trends,cinched everything
spring 2025,39,Trends,stud detailing
spring 2025,39,Trends,studs incorporated in unique ways
spring 2025,39,Trends,oversized handheld bags
spring 2025,39,Trends,Tonkibing over the sleeves
spring 2025,39,Trends,statement leather gloves
spring 2025,39,Trends,slimmer straight-like jeans
spring 2025,40,Clothing,power suit
spring 2025,40,Clothing,"flowy, parachute kind of shapes"
spring 2025,40,Clothing,navy suit
spring 2025,40,Clothing,striped suit
spring 2025,40,Clothing,T-shirt from Lily C
spring 2025,40,Clothing,T-Sport of shirt
spring 2025,40,Clothing,buttoned shirt
spring 2025,40,Clothing,fresh twist for your everyday style
spring 2025,40,Clothing,gorgeous shirt from H&M
spring 2025,40,Clothing,beetle heels
spring 2025,40,Clothing,gold beetle heels
spring 2025,40,Clothing,gorgeous pair from Sezenne
spring 2025,40,Clothing,Pratizones from Alaya
spring 2025,40,Clothing,athletic wear
spring 2025,40,Clothing,F1 racing inspired looks
spring 2025,40,Clothing,tennis inspired looks
spring 2025,40,Clothing,trucks from Adidas
spring 2025,40,Clothing,retro jackets
spring 2025,40,Clothing,bags
spring 2025,40,Clothing,dresses
spring 2025,40,Clothing,summer dresses
spring 2025,40,Clothing,dress from other stories
spring 2025,40,Shoes,beetle heels
spring 2025,40,Shoes,gold beetle heels
spring 2025,40,Shoes,Pratizones from Alaya
spring 2025,40,Colors,pasta colors
spring 2025,40,Colors,Azos
spring 2025,40,Colors,soft and sky inspired colors
spring 2025,40,Colors,navy
spring 2025,40,Trends,power dressing
spring 2025,40,Trends,volume
spring 2025,40,Trends,sporty turn
spring 2025,40,Trends,retro
spring 2025,40,Trends,discounted price
spring 2025,40,Patterns,stripes
spring 2025,41,Clothing,one legged pants
spring 2025,41,Clothing,set
spring 2025,41,Clothing,dress
spring 2025,41,Clothing,pep-lum top
spring 2025,41,Clothing,light sweater set
spring 2025,41,Clothing,maxi skirt
